  0 | 1 - - | - -
  1 | 1 - - | - -
  2 | 1 2 - | - -
  3 | 1 2 - | - -
  4 | 3 1 2 | - -
  5 | 3 1 2 | - -
  6 | 4 - - | - 3
  7 | 4 - - | - 3
  8 | 5 4 - | - 3
  9 | 5 4 - | - 3
 10 | 5 4 6 | - 3
 11 | 5 4 6 | - 3
 12 | 5 4 6 | - 3
 13 | 5 4 6 | - 3
 14 | 5 4 6 | - 3
 15 | 5 4 6 | - 3
 16 | 6 - - | 4 3
 17 | 6 - - | 4 3
 18 | 6 3 - | 4 1
 19 | 6 3 - | 4 1
 20 | 6 3 - | 4 1
 21 | 6 3 - | 4 1
 22 | - 3 - | 4 1
 23 | - 3 - | 4 1
 24 | - - - | 4 1
 25 | - - - | 4 1
 26 | - - - | 4 1
 27 | - - - | 4 1
 28 | - - - | 4 1
 29 | - - - | 4 1
 30 | - - - | 4 1
 31 | - - - | 4 1
 32 | - - - | 4 1
 33 | - - - | 4 1
 34 | 1 - - | 4 2
 35 | 1 - - | 4 2
 36 | 1 4 - | 3 2
 37 | 1 4 - | 3 2
 38 | 1 4 - | 3 2
 39 | 1 4 - | 3 2
 40 | - - - | 3 2
 41 | - - - | 3 2
 42 | - - - | 3 2
 43 | - - - | 3 2
 44 | - - - | 3 2
 45 | - - - | 3 2
 46 | - - - | 3 2
 47 | - - - | 3 2
 48 | - - - | 3 2
 49 | - - - | 3 2
 50 | - - - | 3 2
 51 | - - - | 3 2
 52 | 3 2 - | - 5
 53 | 3 2 - | - 5
 54 | 3 2 - | - 5
 55 | 3 2 - | - 5
 56 | 2 - - | - 5
 57 | 2 - - | - 5
 58 | 2 - - | - 5
 59 | 2 - - | - 5
 60 | 2 - - | - 5
 61 | 2 - - | - 5
 62 | - - - | - 5
 63 | - - - | - 5
 64 | - - - | - 5
 65 | - - - | - 5
 66 | 5 - - | - 6
 67 | 5 - - | - 6
 68 | 5 - - | - 6
 69 | 5 - - | - 6
 70 | 5 - - | - 6
 71 | 5 - - | - 6
 72 | 5 - - | - 6
 73 | 5 - - | - 6
 74 | - - - | - 6
 75 | - - - | - 6
 76 | 6 - - | - 1
 77 | 6 - - | - 1
 78 | 6 - - | - 1
 79 | 6 - - | - 1
 80 | 6 - - | - 1
 81 | 6 - - | - 1
 82 | 6 - - | - 1
 83 | 6 - - | - 1
 84 | 6 - - | - 1
 85 | 6 - - | - 1
 86 | 6 - - | - 1
 87 | 6 - - | - 1
 88 | 6 - - | - 1
 89 | 6 - - | - 1
 90 | 6 - - | - 1
 91 | 6 - - | - 1
 92 | 6 - - | - 1
 93 | 6 - - | - 1
 94 | 6 - - | - 1
 95 | 6 - - | - 1
 96 | 6 1 - | - 4
 97 | 6 1 - | - 4
 98 | 6 1 - | - 4
 99 | 6 1 - | - 4
100 | 6 1 - | - 4
101 | 6 1 - | - 4
102 | 6 1 - | - 4
103 | 6 1 - | - 4
104 | 6 1 - | - 4
105 | 6 1 - | - 4
106 | 6 - - | 1 4
107 | 6 - - | 1 4
108 | 6 4 - | 1 3
109 | 6 4 - | 1 3
110 | 6 4 - | 1 3
111 | 6 4 - | 1 3
112 | 6 4 - | 1 3
113 | 6 4 - | 1 3
114 | 6 4 - | 1 3
115 | 6 4 - | 1 3
116 | 6 4 - | 1 3
117 | 6 4 - | 1 3
118 | 6 - - | 1 3
119 | 6 - - | 1 3
120 | 6 3 - | 1 2
121 | 6 3 - | 1 2
122 | 6 1 - | 4 2
123 | 6 1 - | 4 2
124 | 1 - - | 4 2
125 | 1 - - | 4 2
126 | 1 - - | 4 2
127 | 1 - - | 4 2
128 | 1 - - | 4 2
129 | 1 - - | 4 2
130 | - - - | 4 2
131 | - - - | 4 2
132 | 4 - - | 3 2
133 | 4 - - | 3 2
134 | 4 - - | 3 2
135 | 4 - - | 3 2
136 | 4 2 - | 3 5
137 | 4 2 - | 3 5
138 | 4 2 - | 3 5
139 | 4 2 - | 3 5
140 | - - - | 3 5
141 | - - - | 3 5
142 | - - - | 3 5
143 | - - - | 3 5
144 | - - - | 3 5
145 | - - - | 3 5
146 | 3 - - | 2 5
147 | 3 - - | 2 5
148 | 3 - - | 2 5
149 | 3 - - | 2 5
150 | 3 - - | 2 5
151 | 3 - - | 2 5
152 | - - - | 2 5
153 | - - - | 2 5
154 | - - - | 2 5
155 | - - - | 2 5
156 | 5 - - | 2 6
157 | 5 - - | 2 6
158 | 5 - - | 2 6
159 | 5 - - | 2 6
160 | 5 2 - | 3 6
161 | 5 2 - | 3 6
162 | 5 2 - | 3 6
163 | 5 2 - | 3 6
164 | 2 - - | 3 6
165 | 2 - - | 3 6
166 | 2 - - | 3 6
167 | 2 - - | 3 6
168 | 2 - - | 3 6
169 | 2 - - | 3 6
170 | - - - | 3 6
171 | - - - | 3 6
172 | - - - | 5 6
173 | - - - | 5 6
174 | 6 - - | 5 1
175 | 6 - - | 5 1
176 | 6 - - | 5 1
177 | 6 - - | 5 1
178 | 6 - - | 5 1
179 | 6 - - | 5 1
180 | 6 - - | 5 1
181 | 6 - - | 5 1
182 | 6 5 - | 2 1
183 | 6 5 - | 2 1
184 | 6 5 - | 2 1
185 | 6 5 - | 2 1
186 | - 5 - | 2 1
187 | - 5 - | 2 1
188 | - - - | 2 1
189 | - - - | 2 1
190 | - - - | 2 1
191 | - - - | 2 1
192 | - - - | 2 1
193 | - - - | 2 1
194 | 2 1 - | 6 4
195 | 2 1 - | 6 4
196 | 2 - - | 6 4
197 | 2 - - | 6 4
198 | 2 - - | 6 4
199 | 2 - - | 6 4
200 | - - - | 6 4
201 | - - - | 6 4
202 | - - - | 6 4
203 | - - - | 6 4
204 | - - - | 6 4
205 | - - - | 6 4
206 | - - - | 6 4
207 | - - - | 6 4
208 | 4 - - | 6 5
209 | 4 - - | 6 5
210 | 4 - - | 6 5
211 | 4 - - | 6 5
212 | 4 6 - | 1 5
213 | 4 6 - | 1 5
214 | 4 6 - | 1 5
215 | 4 6 - | 1 5
216 | 4 6 - | 1 5
217 | 4 6 - | 1 5
218 | - 6 - | 1 5
219 | - 6 - | 1 5
220 | 6 - - | 1 5
221 | 6 - - | 1 5
222 | 6 - - | 1 5
223 | 6 - - | 1 5
224 | 6 1 - | 2 5
225 | 6 1 - | 2 5
226 | 6 1 - | 2 5
227 | 6 1 - | 2 5
228 | 6 5 - | 2 -
229 | 6 5 - | 2 -
230 | 6 5 - | 2 -
231 | 6 5 - | 2 -
232 | 6 5 - | 2 -
233 | 6 5 - | 2 -
234 | 6 5 - | 2 -
235 | 6 5 - | 2 -
236 | - - - | 2 5
237 | - - - | 2 5
238 | - - - | 2 5
239 | - - - | 2 5
240 | - - - | 2 5
241 | - - - | 2 5
242 | - - - | 2 5
243 | - - - | 2 5
244 | - - - | 4 5
245 | - - - | 4 5
246 | - - - | 4 5
247 | - - - | 4 5
248 | - - - | 4 5
249 | - - - | 4 5
250 | - - - | 4 5
251 | - - - | 4 5
252 | - - - | 4 5
253 | - - - | 4 5
254 | 5 - - | 4 -
255 | 5 - - | 4 -
256 | - - - | 4 5
257 | - - - | 4 5
258 | - - - | 4 5
259 | - - - | 4 5
260 | - - - | 4 5
261 | - - - | 4 5
262 | - - - | 1 5
263 | - - - | 1 5
264 | - - - | 1 5
265 | - - - | 1 5
266 | - - - | 1 5
267 | - - - | 1 5
268 | - - - | 1 5
269 | - - - | 1 5
270 | - - - | 1 5
271 | - - - | 1 5
272 | - - - | 1 5
273 | - - - | 1 5
274 | - - - | 1 5
275 | - - - | 1 5
276 | - - - | 1 -
277 | - - - | 1 -
278 | - - - | 1 -
279 | - - - | 1 -
280 | - - - | 6 -
281 | - - - | 6 -
282 | - - - | 6 -
283 | - - - | 6 -
284 | - - - | 6 -
285 | - - - | 6 -
286 | - - - | 6 -
287 | - - - | 6 -
288 | - - - | 6 -
289 | - - - | 6 -
290 | - - - | 6 -
291 | - - - | 6 -
292 | - - - | 6 -
293 | - - - | 6 -
294 | 6 - - | - -
295 | 6 - - | - -
296 | 6 - - | - -
297 | 6 - - | - -
298 | 6 - - | - -
299 | 6 - - | - -
300 | 6 - - | - -
301 | 6 - - | - -
302 | 6 - - | - -
303 | 6 - - | - -
304 | 6 - - | - -
305 | 6 - - | - -
306 | 6 - - | - -
307 | 6 - - | - -
308 | 6 - - | - -
309 | 6 - - | - -
310 | 6 - - | - -
311 | 6 - - | - -
312 | 6 - - | - -
313 | 6 - - | - -
314 | 6 - - | - -
315 | 6 - - | - -
316 | 6 - - | - -
317 | 6 - - | - -
318 | 6 - - | - -
319 | 6 - - | - -
320 | 6 - - | - -
321 | 6 - - | - -
322 | 6 - - | - -
323 | 6 - - | - -
324 | 6 - - | - -
325 | 6 - - | - -
326 | 6 - - | - -
327 | 6 - - | - -
328 | 6 - - | - -
329 | 6 - - | - -
330 | 6 - - | - -
331 | 6 - - | - -
332 | 6 - - | - -
333 | 6 - - | - -
334 | 6 - - | - -
335 | 6 - - | - -
336 | 6 - - | - -
337 | 6 - - | - -
338 | 6 - - | - -
339 | 6 - - | - -
340 | 6 - - | - -
341 | 6 - - | - -
342 | - - - | 6 -
343 | - - - | 6 -
344 | - - - | 6 -
345 | - - - | 6 -
346 | - - - | 6 -
347 | - - - | 6 -
348 | - - - | 6 -
349 | - - - | 6 -
350 | - - - | 6 -
351 | - - - | 6 -
352 | - - - | 6 -
353 | - - - | 6 -
354 | - - - | 6 -
355 | - - - | 6 -
356 | - - - | 6 -
357 | - - - | 6 -
358 | - - - | 6 -
359 | - - - | 6 -
360 | - - - | 6 -
361 | - - - | 6 -
362 | 6 - - | - -
363 | 6 - - | - -
364 | 6 - - | - -
365 | 6 - - | - -
366 | 6 - - | - -
367 | 6 - - | - -
368 | 6 - - | - -
369 | 6 - - | - -
370 | 6 - - | - -
371 | 6 - - | - -
372 | 6 - - | - -
373 | 6 - - | - -
374 | 6 - - | - -
375 | 6 - - | - -
376 | 6 - - | - -
377 | 6 - - | - -
378 | 6 - - | - -
379 | 6 - - | - -
380 | 6 - - | - -
381 | 6 - - | - -
382 | 6 - - | - -
383 | 6 - - | - -
384 | 6 - - | - -
385 | 6 - - | - -
386 | - - - | - 6
387 | - - - | - 6
388 | - - - | - 6
389 | - - - | - 6
390 | - - - | - 6
391 | - - - | - 6
392 | - - - | - 6
393 | - - - | - 6
394 | - - - | - 6
395 | - - - | - 6
396 | - - - | - 6
397 | - - - | - 6
398 | - - - | - 6
399 | - - - | - 6
400 | 6 - - | - -
401 | 6 - - | - -
402 | 6 - - | - -
403 | 6 - - | - -
404 | 6 - - | - -
405 | 6 - - | - -
406 | 6 - - | - -
407 | 6 - - | - -
408 | 6 - - | - -
409 | 6 - - | - -
410 | 6 - - | - -
411 | 6 - - | - -
412 | 6 - - | - -
413 | 6 - - | - -
414 | 6 - - | - -
415 | 6 - - | - -
416 | 6 - - | - -
417 | 6 - - | - -
418 | 6 - - | - -
419 | 6 - - | - -
420 | 6 - - | - -
421 | 6 - - | - -
422 | 6 - - | - -
423 | 6 - - | - -
424 | 6 - - | - -
425 | 6 - - | - -
426 | 6 - - | - -
427 | 6 - - | - -
428 | 6 - - | - -
429 | 6 - - | - -
430 | 6 - - | - -
431 | 6 - - | - -
432 | 6 - - | - -
